"start";"end";"today";"username";"What is the name of this site";"Record your current location";"_Record your current location_latitude";"_Record your current location_longitude";"_Record your current location_altitude";"_Record your current location_precision";"Photo 1";"Photo 2";"Photo 3";"Photo 4";"Photo 5";"Photo 6";"Photo 7";"Photo 8";"What type of anvil?";"What type of anvil?/stone";"What type of anvil?/wood";"What is hammer material?";"What is hammer material?/stone";"What is hammer material?/wood";"Fragmentation Pattern?";"Weight";"Length Max";"Length 25%";"Length 50%";"Length 75%";"Width (maximum) ";"Width (25%) ";"Width (50%) ";"Width (75%) ";"Thickness";"Hammerstone Shape";"Hammerstone Shape/Spheroid";"Hammerstone Shape/Ovate";"Hammerstone Shape/Rectangular";"Hammerstone Shape/Irregular";"Hammerstone Shape/Undetermined";"Type of Debris at Site";"Type of Debris at Site/Almendras";"Type of Debris at Site/Shells";"Type of Debris at Site/Halloween Crabs";"Type of Debris at Site/Coconut";"Type of Debris at Site/Marine Snail";"Type of Debris at Site/Freshwater Snail";"Type of Debris at Site/Bactris Fruit";"Type of Debris at Site/Other (see comments)";"Site Type";"What is site type?";"Site Location";"Site Location/Beach";"Site Location/Stream Bank";"Site Location/In Tree";"Site Location/Other";"Site Location/In Forest";"Site Location/Option 6";"Comments";"Camera Trap At Site?";"Name of Camera Trap?";"What is the name of this site";"What is the name of this site";"Record your current location";"_Record your current location_latitude";"_Record your current location_longitude";"_Record your current location_altitude";"_Record your current location_precision";"Record your current location";"_Record your current location_latitude";"_Record your current location_longitude";"_Record your current location_altitude";"_Record your current location_precision";"Photo 1";"Photo 2";"Photo 3";"What type of anvil?";"What type of anvil?/Stone";"What type of anvil?/Wood";"Photo 4";"What is hammer material?";"What is hammer material?/Stone";"What is hammer material?/Wooden";"Photo 5";"Fragmentation Pattern?";"Photo 6";"What type of anvil?";"What type of anvil?/Stone";"What type of anvil?/Wood";"What is hammer material?";"What is hammer material?/Stone";"What is hammer material?/Wooden";"WIDTH";"Fragmentation Pattern?";"THICKNESS";"WEIGHT";"Type of Debris at Site";"Type of Debris at Site/Almendras";"Type of Debris at Site/Shells";"Type of Debris at Site/Halloween Crabs";"Type of Debris at Site/Coconut";"Type of Debris at Site/Marine Snail";"Type of Debris at Site/Freshwater Snail";"Type of Debris at Site/Other (see comments)";"LENGTH";"Site Type";"WIDTH";"Enter a date and time";"Type of Debris at Site";"Type of Debris at Site/Almendras";"Type of Debris at Site/Shells";"Type of Debris at Site/Halloween Crabs";"Type of Debris at Site/Coconut";"Type of Debris at Site/Marine Snail";"Type of Debris at Site/Freshwater Snail";"Type of Debris at Site/Nut";"Type of Debris at Site/Other (see comments)";"Type of Debris at Site/Freshwater Snail";"Type of Debris at Site/Other (see comments)";"Site Type";"Site Location";"Site Location/Beach";"Site Location/Stream Bank";"Site Location/In Tree";"Site Location/In Stream";"Site Location/Other";"Comments";"Comments";"Camera Trap At Site?";"Name of Camera Trap?";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"_tags";"_index"
"2021-07-20T14:19:28.125-05:00";"2021-07-20T14:38:22.807-05:00";"2021-07-20";"Brendan Barrett";"T02";"7.2708686 -81.821005 31.571638203130956 4.675";"7.2708686";"-81.821005";"31.571638203130956";"4.675";"1626808798181.jpg";"1626808815952.jpg";"1626808822803.jpg";"1626808829185.jpg";"";"";"";"";"wood";"0";"1";"stone";"1";"0";"whole";"764.0";"132";"";"";"";"123";"";"";"";"35";"Rectangular";"0";"0";"1";"0";"0";"Almendras Halloween Crabs Coconut";"1";"0";"1";"1";"0";"0";"0";"0";"";"3";"Stream Bank";"0";"1";"0";"0";"0";"0";"";"Yes";"Cebus-04-R10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106638891";"71cc8798-bf3c-40f2-ad4f-f4f23a86dd01";"2021-07-25T11:42:36";"";"[]";"submitted_via_web";"bjb5009";"";"1"
"2021-07-23T10:17:48.267-05:00";"2021-07-23T10:26:58.882-05:00";"2021-07-23";"Brendan Barrett";"T01";"";"";"";"";"";"1627053524905.jpg";"1627053534105.jpg";"1627053546430.jpg";"1627053558724.jpg";"1627053576894.jpg";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"0.0";"0";"";"";"";"0";"";"";"";"0";"Ovate";"0";"1";"0";"0";"0";"Other (see comments)";"0";"0";"0";"0";"0";"0";"0";"1";"";"2";"Stream Bank";"0";"1";"0";"0";"0";"0";"Stream south of Rio Escondido at camera site. Use gps from tracker. Unsure if tool. Unknown fruit under rock.";"No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106639053";"73ae01f1-3c5e-4d16-b33e-8c8e066ba951";"2021-07-25T11:43:27";"";"[]";"submitted_via_web";"bjb5009";"";"2"
"2021-07-20T14:39:25.942-05:00";"2021-07-20T14:44:53.861-05:00";"2021-07-20";"Brendan Barrett";"T03";"7.2709008 -81.8212157 35.518925698656 7.5";"7.2709008";"-81.8212157";"35.518925698656";"7.5";"1626810005491.jpg";"1626810012382.jpg";"1626810031299.jpg";"";"";"";"";"";"wood";"0";"1";"stone";"1";"0";"whole";"1300.0";"146";"";"";"";"113";"";"";"";"51";"Ovate";"0";"1";"0";"0";"0";"Almendras Shells Coconut";"1";"1";"0";"1";"0";"0";"0";"0";"";"3";"Beach";"1";"0";"0";"0";"0";"0";"Camera trap would be visible ";"No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106638925";"bfc01b9b-c3e0-4242-8d3d-0406d36499b2";"2021-07-25T11:42:56";"";"[]";"submitted_via_web";"bjb5009";"";"3"
"2021-07-20T15:28:15.966-05:00";"2021-07-20T15:37:06.407-05:00";"2021-07-20";"Brendan Barrett";"T04";"7.2707914 -81.8209949 34.96325659933049 4.972";"7.2707914";"-81.8209949";"34.96325659933049";"4.972";"1626812951489.jpg";"1626812959526.jpg";"1626812967395.jpg";"";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"407.0";"112";"";"";"";"74";"";"";"";"54";"Irregular";"0";"0";"0";"1";"0";"Almendras";"1";"0";"0";"0";"0";"0";"0";"0";"";"3";"In Forest";"0";"0";"0";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106638975";"da93fabc-5ab8-4fd2-ac85-0a19c4b13803";"2021-07-25T11:43:12";"";"[]";"submitted_via_web";"bjb5009";"";"4"
"2021-07-20T11:15:10.642-05:00";"2021-07-20T11:19:28.248-05:00";"2021-07-20";"Brendan Barrett";"T01";"7.2682072 -81.8194375 42.263163621786084 4.83";"7.2682072";"-81.8194375";"42.263163621786084";"4.83";"1626797806173.jpg";"1626797816533.jpg";"1626797825077.jpg";"1626797838311.jpg";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"1435.0";"133";"";"";"";"110";"";"";"";"66";"Rectangular";"0";"0";"1";"0";"0";"Almendras";"1";"0";"0";"0";"0";"0";"0";"0";"";"2";"Stream Bank";"0";"1";"0";"0";"0";"0";"";"Yes";"Cebus-08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106638853";"458b7840-b870-4ed0-b567-780dcc2cc4a3";"2021-07-25T11:42:15";"";"[]";"submitted_via_web";"bjb5009";"";"5"
"2021-07-19T16:04:13.005-05:00";"2021-07-19T16:13:24.361-05:00";"2021-07-19";"Brendan Barrett";"T06
";"";"";"";"";"";"1626728675002.jpg";"1626728691274.jpg";"1626728702429.jpg";"1626728714317.jpg";"1626728748411.jpg";"";"";"";"wood";"0";"1";"stone";"1";"0";"whole";"270.0";"96";"";"";"";"74";"";"";"";"53";"Irregular";"0";"0";"0";"1";"0";"Shells";"0";"1";"0";"0";"0";"0";"0";"0";"";"2";"In Forest";"0";"0";"0";"0";"1";"0";"";"No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106638778";"e41b8e05-26b8-4206-8de6-6cba22078cbc";"2021-07-25T11:41:49";"";"[]";"submitted_via_web";"bjb5009";"";"6"
"2021-07-19T11:19:50.873-05:00";"2021-07-19T11:31:54.236-05:00";"2021-07-19";"Brendan Barrett";"T05";"7.2689369445370176 -81.81976192962429 25.1875 0.0";"7.2689369445370176";"-81.81976192962429";"25.1875";"0.0";"1626711661433.jpg";"1626711684699.jpg";"1626711699466.jpg";"1626711710714.jpg";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"220.0";"75";"";"";"";"70";"";"";"";"42";"Irregular";"0";"0";"0";"1";"0";"Shells";"0";"1";"0";"0";"0";"0";"0";"0";"";"2";"Other";"0";"0";"0";"1";"0";"0";"On army bench near waterfall CEBUS-07";"No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106638646";"acbe2127-67ce-4fb0-891a-47688e8ef4b1";"2021-07-25T11:40:39";"";"[]";"submitted_via_web";"bjb5009";"";"7"
"2021-07-19T10:45:42.971-05:00";"2021-07-19T10:56:58.747-05:00";"2021-07-19";"Brendan Barrett";"T04
";"7.268880872100453 -81.81953441443511 17.031982421875 0.0";"7.268880872100453";"-81.81953441443511";"17.031982421875";"0.0";"1626709585893.jpg";"1626709595903.jpg";"1626709616312.jpg";"1626709641570.jpg";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"926.0";"110";"";"";"";"97";"";"";"";"78";"Spheroid";"1";"0";"0";"0";"0";"Almendras";"1";"0";"0";"0";"0";"0";"0";"0";"";"2";"Stream Bank";"0";"1";"0";"0";"0";"0";"";"Yes";"CEBUS-07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106638306";"5f5ae85b-8455-47c1-9bc9-91a1de53f1db";"2021-07-25T11:38:45";"";"[]";"submitted_via_web";"bjb5009";"";"8"
"2021-07-19T10:21:00.415-05:00";"2021-07-19T10:25:32.734-05:00";"2021-07-19";"Brendan Barrett";"T03
";"7.267644176077738 -81.82093013153462 88.3740234375 0.0";"7.267644176077738";"-81.82093013153462";"88.3740234375";"0.0";"1626708090322.jpg";"1626708097144.jpg";"1626708107227.jpg";"1626708124294.jpg";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"1021.0";"150";"";"";"";"100";"";"";"";"41";"Irregular";"0";"0";"0";"1";"0";"Almendras";"1";"0";"0";"0";"0";"0";"0";"0";"";"1";"Stream Bank";"0";"1";"0";"0";"0";"0";"";"No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106637967";"ee398174-459b-478e-b2a7-6b2b3e61b53a";"2021-07-25T11:36:39";"";"[]";"submitted_via_web";"bjb5009";"";"9"
"2021-07-19T10:02:43.719-05:00";"2021-07-19T10:15:05.738-05:00";"2021-07-19";"Brendan Barrett";"T02";"7.2682737892910145 -81.81947135760674 54.3388671875 0.0";"7.2682737892910145";"-81.81947135760674";"54.3388671875";"0.0";"1626707008620.jpg";"1626707019039.jpg";"1626707047829.jpg";"1626707062007.jpg";"1626707074183.jpg";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"1061.0";"161";"";"";"";"74";"";"";"";"66";"Ovate";"0";"1";"0";"0";"0";"Almendras Shells";"1";"1";"0";"0";"0";"0";"0";"0";"";"3";"Stream Bank";"0";"1";"0";"0";"0";"0";"Hermit crabs debris";"Yes";"CEBUS-09 or CEBUS-10 (discovery stream)
";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106637756";"7aadd52f-29fc-4e23-885e-0c308393e062";"2021-07-25T11:34:17";"";"[]";"submitted_via_web";"bjb5009";"";"10"
